CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F2344,F2345,
,,,,,Central heating in household; type of : No central heating - Unit : Households,Central heating in household; type of : Does have central heating - Unit : Households,
30479,E01011556,Leeds 015A,Lower Super Output Areas and Data Zones,LSOADZ,33,726,
30480,E01011557,Leeds 015B,Lower Super Output Areas and Data Zones,LSOADZ,8,638,
30481,E01011558,Leeds 018B,Lower Super Output Areas and Data Zones,LSOADZ,72,650,
30482,E01011559,Leeds 018C,Lower Super Output Areas and Data Zones,LSOADZ,59,509,
30483,E01011560,Leeds 018D,Lower Super Output Areas and Data Zones,LSOADZ,85,798,
30484,E01011561,Leeds 006A,Lower Super Output Areas and Data Zones,LSOADZ,17,516,
30485,E01011562,Leeds 012B,Lower Super Output Areas and Data Zones,LSOADZ,6,622,
30486,E01011563,Leeds 012C,Lower Super Output Areas and Data Zones,LSOADZ,7,611,
30487,E01011564,Leeds 012D,Lower Super Output Areas and Data Zones,LSOADZ,3,602,
30488,E01011565,Leeds 015C,Lower Super Output Areas and Data Zones,LSOADZ,9,583,
30489,E01011566,Leeds 015D,Lower Super Output Areas and Data Zones,LSOADZ,7,562,
30490,E01011567,Leeds 012E,Lower Super Output Areas and Data Zones,LSOADZ,3,559,
30491,E01011568,Leeds 015E,Lower Super Output Areas and Data Zones,LSOADZ,13,848,
30492,E01011569,Leeds 004A,Lower Super Output Areas and Data Zones,LSOADZ,57,747,
30493,E01011570,Leeds 007A,Lower Super Output Areas and Data Zones,LSOADZ,13,946,
30494,E01011571,Leeds 004B,Lower Super Output Areas and Data Zones,LSOADZ,37,721,
30495,E01011572,Leeds 004C,Lower Super Output Areas and Data Zones,LSOADZ,36,780,
30496,E01011573,Leeds 004D,Lower Super Output Areas and Data Zones,LSOADZ,20,516,
30497,E01011574,Leeds 004E,Lower Super Output Areas and Data Zones,LSOADZ,45,666,
30498,E01011576,Leeds 007C,Lower Super Output Areas and Data Zones,LSOADZ,8,586,
30499,E01011578,Leeds 011D,Lower Super Output Areas and Data Zones,LSOADZ,32,593,
30500,E01011579,Leeds 014C,Lower Super Output Areas and Data Zones,LSOADZ,14,479,
30501,E01011580,Leeds 014D,Lower Super Output Areas and Data Zones,LSOADZ,6,597,
30502,E01011581,Leeds 003A,Lower Super Output Areas and Data Zones,LSOADZ,17,609,
30503,E01011582,Leeds 003B,Lower Super Output Areas and Data Zones,LSOADZ,61,691,
30504,E01011583,Leeds 003C,Lower Super Output Areas and Data Zones,LSOADZ,18,583,
30505,E01011584,Leeds 003D,Lower Super Output Areas and Data Zones,LSOADZ,12,543,
30506,E01011585,Leeds 062A,Lower Super Output Areas and Data Zones,LSOADZ,65,585,
30507,E01011586,Leeds 066A,Lower Super Output Areas and Data Zones,LSOADZ,23,574,
30508,E01011587,Leeds 062B,Lower Super Output Areas and Data Zones,LSOADZ,59,698,
30509,E01011588,Leeds 039A,Lower Super Output Areas and Data Zones,LSOADZ,23,668,
30510,E01011589,Leeds 039B,Lower Super Output Areas and Data Zones,LSOADZ,24,675,
30511,E01011590,Leeds 039C,Lower Super Output Areas and Data Zones,LSOADZ,13,626,
30512,E01011591,Leeds 052D,Lower Super Output Areas and Data Zones,LSOADZ,38,772,
